,close,high,low,open,ticker,vol
2004-02-13,3.2250743525,3.2860892727,3.2076415183999996,3.2337907697,SAN,19424627
2004-02-16,3.2337907697,3.2337907697,3.2076415183999996,3.2163579352999996,SAN,9252719
2004-02-17,3.1902086839,3.2425071869,3.1727758496,3.2337907697,SAN,33881194
2004-02-18,3.2076415183999996,3.2250743525,3.1902086839,3.2076415183999996,SAN,25895475
2004-02-19,3.3122385242,3.3122385242,3.2076415183999996,3.2163579352999996,SAN,28044884
2004-02-20,3.2250743525,3.2512236039999998,3.2076415183999996,3.2337907697,SAN,23571196
2004-02-23,3.2250743525,3.2425071869,3.2076415183999996,3.2250743525,SAN,11705840
2004-02-24,3.1902086839,3.2250743525,3.1466265981,3.2076415183999996,SAN,17803303
2004-02-25,3.1989251011,3.2250743525,3.1466265981,3.1902086839,SAN,19510517
2004-02-26,3.1727758496,3.2250743525,3.1466265981,3.2250743525,SAN,17754989
2004-02-27,3.2250743525,3.2250743525,3.1814922666000003,3.1902086839,SAN,29598865
2004-03-01,3.2076415183999996,3.2337907697,3.1902086839,3.2250743525,SAN,26104275
2004-03-02,3.2250743525,3.2250743525,3.1989251011,3.2250743525,SAN,18994965
2004-03-03,3.1466265981,3.2163579352999996,3.1466265981,3.2076415183999996,SAN,27063304
2004-03-04,3.2250743525,3.2250743525,3.1466265981,3.1727758496,SAN,21904774
2004-03-05,3.2250743525,3.2425071869,3.1727758496,3.2076415183999996,SAN,25780606
2004-03-08,3.2250743525,3.2250743525,3.2076415183999996,3.2163579352999996,SAN,14571987
2004-03-09,3.1727758496,3.2076415183999996,3.1466265981,3.1902086839,SAN,17303534
2004-03-10,3.1814922666000003,3.2076415183999996,3.1466265981,3.1466265981,SAN,22465680
2004-03-11,3.1466265981,3.1466265981,3.1291937637,3.1466265981,SAN,42595796
2004-03-12,3.1117609293,3.1204773465,2.9461490031,3.0245967576,SAN,41473613
